datetime,open,close,high,low,volume,ma120
2022-08-01,4160.65,4188.68,4196.57,4129.45,107749029,4253.059583333334
2022-08-02,4144.38,4107.02,4144.38,4071.43,142224425,4248.667333333334
2022-08-03,4114.83,4066.98,4150.98,4058.18,116666124,4244.152416666667
2022-08-04,4089.44,4101.54,4108.16,4064.66,89532644,4239.56475
2022-08-05,4109.63,4156.91,4159.49,4097.86,102571004,4235.540166666667
2022-08-08,4142.11,4148.07,4155.73,4135.08,90208138,4231.762416666667
2022-08-09,4143.67,4156.29,4161.81,4131.43,84136959,4228.467416666667
2022-08-10,4149.21,4109.74,4160.79,4092.55,85565839,4224.381083333333
2022-08-11,4130.74,4193.54,4193.81,4116.06,121385051,4220.844
2022-08-12,4185.42,4191.15,4202.47,4175.05,106808295,4217.193916666667
2022-08-15,4180.0,4185.68,4219.92,4174.3,105898495,4213.314249999999
2022-08-16,4190.53,4177.84,4208.8,4170.52,93906139,4209.510333333334
2022-08-17,4182.57,4216.96,4222.79,4155.17,112864659,4206.5337500000005
2022-08-18,4205.79,4180.1,4211.91,4173.54,101052650,4202.842500000001
2022-08-19,4174.55,4151.07,4185.66,4151.07,117402978,4199.690416666667
2022-08-22,4135.16,4181.4,4183.65,4134.2,112442720,4196.423583333333
2022-08-23,4175.53,4161.08,4187.39,4147.41,103153512,4192.918833333333
2022-08-24,4168.58,4082.42,4174.16,4079.09,119069679,4188.441583333333
2022-08-25,4093.29,4116.24,4119.62,4058.75,111320745,4184.588583333333
2022-08-26,4127.81,4107.55,4139.79,4102.68,99000493,4180.8879166666675
2022-08-29,4063.88,4089.52,4092.95,4059.6,94354432,4177.496999999999
2022-08-30,4088.53,4075.79,4093.14,4048.52,93301662,4175.18875
2022-08-31,4057.14,4078.84,4112.85,4046.62,132449765,4173.634166666667
2022-09-01,4066.19,4043.74,4090.89,4041.13,97387071,4172.112416666667
2022-09-02,4054.84,4023.61,4056.18,4004.91,86789278,4169.868833333333
2022-09-05,4010.41,4015.43,4017.0,3982.74,93767109,4167.443083333334
2022-09-06,4024.47,4052.28,4054.0,4009.58,113506265,4166.422416666666
2022-09-07,4032.72,4054.98,4067.54,4028.37,107678059,4167.0155
2022-09-08,4059.17,4037.68,4067.76,4036.02,100886049,4166.028833333334
2022-09-09,4050.59,4093.79,4099.01,4042.25,118427114,4164.829583333333
2022-09-13,4112.01,4111.11,4128.11,4097.14,111789737,4163.539666666667
2022-09-14,4058.04,4065.36,4089.06,4047.92,90793681,4161.928083333333
2022-09-15,4078.65,4027.12,4088.81,3998.86,123951196,4160.026583333333
2022-09-16,4013.58,3932.68,4019.41,3932.68,137193655,4157.16125
2022-09-19,3928.42,3928.0,3953.65,3910.31,97719575,4154.467000000001
2022-09-20,3945.65,3932.84,3957.55,3921.69,84824134,4152.452583333334
2022-09-21,3921.32,3903.73,3924.39,3884.23,86458391,4150.413083333334
2022-09-22,3875.18,3869.34,3900.27,3860.23,80946919,4148.206416666666
2022-09-23,3865.1,3856.02,3888.4,3829.69,94342462,4144.8890833333335
2022-09-26,3829.6,3836.68,3893.32,3827.95,104526031,4141.673083333333
2022-09-27,3844.07,3892.3,3893.03,3827.93,88860160,4138.47425
2022-09-28,3879.44,3828.71,3879.44,3828.05,86592213,4134.848166666667
2022-09-29,3864.32,3827.14,3873.18,3808.65,85654142,4131.665166666667
2022-09-30,3833.35,3804.89,3848.6,3801.28,78559966,4128.116166666666
2022-10-10,3806.56,3720.94,3807.46,3715.71,102647595,4124.95675
2022-10-11,3732.02,3727.69,3739.81,3706.06,83944625,4121.18775
2022-10-12,3722.87,3784.31,3784.31,3661.53,108089319,4118.225833333333
2022-10-13,3756.42,3752.67,3783.6,3749.64,99018915,4114.568333333334
2022-10-14,3783.32,3842.47,3863.23,3780.84,116242293,4111.682666666667
2022-10-17,3822.24,3846.41,3849.62,3809.12,104192019,4109.01625
2022-10-18,3865.83,3838.27,3870.22,3831.17,88346907,4106.544333333333
2022-10-19,3827.47,3776.53,3840.49,3776.53,81574844,4104.092166666666
2022-10-20,3746.58,3754.93,3804.25,3726.79,90290895,4102.084666666667
2022-10-21,3753.89,3742.89,3768.69,3724.69,98750038,4099.831666666667
2022-10-24,3727.92,3633.37,3762.16,3619.99,130056864,4098.318833333334
2022-10-25,3621.94,3627.45,3670.73,3594.7,110953882,4097.01325
2022-10-26,3633.31,3656.9,3700.88,3633.31,121301548,4095.0245833333333
2022-10-27,3667.66,3631.14,3685.08,3631.06,117998675,4092.6081666666664
2022-10-28,3605.16,3541.33,3618.86,3533.5,118772162,4088.6505833333335
2022-10-31,3504.51,3508.7,3553.39,3495.95,138465655,4084.4713333333334
2022-11-01,3519.82,3634.17,3634.17,3517.62,149286698,4082.1825833333337
2022-11-02,3620.37,3677.81,3703.47,3610.8,141592919,4080.5190000000002
2022-11-03,3645.06,3647.9,3670.16,3628.5,110566035,4078.2525833333334
2022-11-04,3646.77,3767.17,3782.88,3646.77,149734949,4076.5088333333333
2022-11-07,3754.52,3775.3,3792.79,3746.37,129826371,4074.9801666666667
2022-11-08,3773.66,3749.33,3779.12,3723.34,99016451,4072.9862500000004
2022-11-09,3750.78,3714.27,3760.41,3711.27,89434525,4070.967333333333
2022-11-10,3685.83,3685.69,3701.53,3665.06,103509302,4068.299
2022-11-11,3787.76,3788.44,3828.9,3747.09,189685586,4066.6034166666664
2022-11-14,3818.14,3794.02,3848.41,3781.78,169665048,4064.89025
2022-11-15,3788.93,3865.97,3871.64,3775.5,151515650,4063.126666666666
2022-11-16,3860.81,3834.39,3877.68,3829.31,120610964,4061.29675
2022-11-17,3821.27,3818.66,3821.74,3776.57,105940632,4060.1260000000007
2022-11-18,3823.82,3801.57,3840.3,3801.57,115078777,4058.612583333333
2022-11-21,3769.63,3769.13,3769.87,3734.0,95866966,4056.7466666666664
2022-11-22,3766.08,3769.57,3809.86,3751.04,144486334,4054.8155833333335
2022-11-23,3760.22,3773.53,3791.18,3753.21,144527911,4052.6865000000003
2022-11-24,3791.54,3756.81,3804.9,3751.38,101073447,4049.8972500000004
2022-11-25,3751.28,3775.78,3790.57,3743.41,142929711,4047.335583333333
2022-11-28,3701.9,3733.24,3736.08,3672.13,127825748,4044.3661666666667
2022-11-29,3766.57,3848.42,3854.77,3766.57,178701392,4041.7189166666667
2022-11-30,3836.56,3853.04,3867.66,3833.83,157511400,4039.0015
2022-12-01,3921.3,3894.77,3944.56,3893.87,169964585,4036.2928333333334
2022-12-02,3886.4,3870.95,3898.11,3865.88,116786350,4033.7535000000003
2022-12-05,3907.64,3946.88,3947.48,3900.67,201747221,4031.3192500000005
2022-12-06,3929.01,3968.2,3988.9,3923.0,155108323,4029.476333333333
2022-12-07,3956.67,3958.44,3999.59,3944.18,143001356,4027.2774166666663
2022-12-08,3953.2,3959.18,3971.49,3941.3,115199986,4024.61875
2022-12-09,3961.99,3998.24,4003.32,3944.44,153774954,4022.5202500000005
2022-12-12,3976.17,3953.44,3983.43,3950.32,125935368,4019.556916666667
2022-12-13,3953.55,3945.68,3964.4,3939.98,100994100,4016.3506666666667
2022-12-14,3952.79,3954.89,3972.74,3935.77,98528006,4013.2616666666663
2022-12-15,3954.67,3951.99,3963.5,3926.5,88864725,4010.606416666667
2022-12-16,3931.23,3954.23,3960.47,3929.49,93178567,4007.3593333333333
2022-12-19,3952.77,3893.22,3966.57,3878.44,106919075,4003.1797500000002
2022-12-20,3881.23,3829.02,3881.27,3811.48,83096822,3998.0527500000003
2022-12-21,3839.0,3830.54,3853.73,3821.4,64839215,3992.5529166666665
2022-12-22,3859.2,3836.03,3882.13,3821.34,83705173,3987.675166666667
2022-12-23,3811.62,3828.22,3848.34,3805.95,65278148,3982.2019166666664
2022-12-26,3830.57,3843.49,3856.81,3827.52,73005712,3977.008333333333
2022-12-27,3860.91,3887.85,3891.85,3856.58,77515350,3971.9401666666668
2022-12-28,3874.91,3871.26,3884.72,3854.94,84424656,3966.7878333333338
